Year,Comedy,Drama,Action,Biography,Crime,Music,Western,Romance,Mystery,Animation,Short,Family,Adventure,GameShow,War,History,Documentary,FilmNoir,Musical,Fantasy,Thriller,TalkShow,SciFi,Horror,RealityTV,Sport,OhneGenre
1950,187,239,39,8,92,47,70,55,29,65,150,85,42,18,20,11,48,51,28,10,15,6,8,3,0,11,36
1951,154,262,42,9,74,32,54,65,24,59,129,77,51,15,23,16,61,36,32,14,22,11,17,11,0,13,31
1952,174,264,40,16,57,40,60,63,23,55,128,72,65,11,20,14,67,29,30,18,19,8,10,6,0,9,28
1953,170,273,49,16,87,29,67,76,18,50,153,67,74,9,34,23,78,30,34,19,18,7,25,10,1,9,30
1954,166,266,36,14,72,26,59,62,27,63,150,85,81,9,15,18,74,24,31,23,19,4,24,14,1,11,24
1955,189,327,48,21,95,24,73,80,20,55,177,76,66,8,31,23,99,33,33,16,15,4,18,17,1,8,48
1956,150,321,45,18,75,33,78,76,20,48,155,74,71,15,36,22,100,31,33,17,23,10,32,21,1,14,35
1957,188,377,65,25,103,72,86,101,24,59,158,77,82,15,33,19,96,19,40,24,29,13,35,43,1,21,45
1958,154,356,61,11,82,70,67,103,25,37,107,57,67,12,41,13,76,10,29,27,33,11,40,59,0,6,51
1959,172,385,68,16,108,66,63,73,30,50,133,61,75,7,45,20,93,1,30,28,43,15,33,39,0,2,47
1960,173,352,41,16,93,40,50,62,28,30,109,62,57,4,39,19,84,0,19,20,31,11,16,38,1,6,36
1961,166,345,70,15,73,31,29,55,24,45,117,49,65,7,39,19,78,0,20,23,43,8,25,38,0,4,32
1962,191,362,86,11,69,30,23,56,25,38,132,52,87,6,45,28,85,0,28,28,36,5,19,45,1,9,41
1963,207,350,88,12,68,27,21,69,32,36,112,59,67,4,39,28,95,0,29,27,31,2,29,50,1,6,45
1964,208,316,105,16,73,33,38,63,26,43,147,56,82,3,50,28,108,0,47,29,47,1,19,44,2,9,43
1965,207,351,119,11,56,36,46,77,34,67,145,68,87,10,57,23,80,0,34,27,65,2,36,39,0,5,50
1966,210,320,123,9,73,25,57,77,21,71,166,65,88,3,41,18,94,0,40,28,48,5,53,37,0,6,42
1967,196,332,83,11,86,30,66,75,36,81,155,62,88,6,31,14,103,0,39,29,61,10,34,39,0,7,50
1968,214,398,90,6,96,44,68,84,29,52,135,35,86,4,46,18,115,0,30,35,56,3,35,54,0,13,62
1969,205,430,109,13,87,31,35,80,21,67,153,62,85,5,40,20,106,0,24,27,58,3,18,46,0,14,39
1970,211,418,97,18,55,38,43,79,26,45,104,58,66,4,38,20,88,0,24,36,53,5,26,76,0,13,62
1971,243,418,88,18,93,28,58,55,52,52,122,56,64,5,28,16,104,0,18,28,80,4,25,78,2,12,61
1972,228,421,115,18,107,32,54,66,54,49,104,68,69,5,20,25,90,0,23,23,86,3,33,101,0,15,45
1973,228,472,141,27,148,25,34,66,43,61,96,69,72,5,29,21,80,0,19,28,95,1,30,103,0,19,43
1974,242,458,135,26,125,34,27,65,47,49,106,71,65,10,18,35,106,0,21,44,99,2,22,96,1,12,42
1975,227,408,95,32,115,34,34,45,47,54,122,63,81,12,23,32,100,0,16,26,76,3,24,62,3,13,52
1976,221,436,117,26,122,24,31,59,32,68,112,105,70,10,22,30,99,0,19,39,75,7,27,76,0,11,74
1977,233,408,119,33,82,41,10,55,37,75,114,90,96,6,21,17,90,0,18,36,70,5,46,73,0,17,55
1978,232,443,118,28,82,37,20,56,39,90,124,80,81,5,23,34,109,0,29,31,77,7,41,73,3,20,50
1979,250,456,132,23,70,45,14,68,32,85,99,90,88,6,27,28,95,0,13,37,57,1,54,69,2,18,77
1980,244,440,113,34,84,47,8,73,38,77,92,76,82,3,18,24,90,0,21,34,78,5,41,85,3,10,68
1981,224,408,104,32,67,50,9,71,40,82,102,93,84,6,25,35,95,0,12,44,70,1,48,106,3,14,54
1982,248,424,112,28,70,47,8,71,41,78,85,105,77,7,23,25,102,0,25,42,63,7,52,98,2,11,69
1983,283,451,113,32,86,60,7,76,42,84,98,97,84,10,25,33,126,0,23,46,62,5,56,79,1,11,70
1984,273,435,147,29,83,89,5,85,41,83,102,111,79,15,14,25,95,0,22,52,68,8,60,76,1,22,80
1985,312,429,149,35,108,70,7,91,40,114,96,114,117,10,30,30,120,0,23,62,79,7,54,87,1,14,84
1986,314,444,159,37,110,54,8,74,41,109,114,101,110,8,19,21,126,0,21,54,81,7,72,113,1,20,74
1987,363,512,205,33,129,65,6,97,48,126,125,117,115,9,28,21,130,0,24,74,114,13,81,120,4,21,89
1988,348,483,208,31,119,59,10,92,46,113,125,99,92,12,41,30,127,0,23,62,118,6,59,157,2,24,86
1989,342,469,218,36,162,66,7,82,52,100,129,96,109,8,32,31,119,0,14,70,139,8,59,132,1,21,89
1990,366,436,208,33,135,63,10,72,39,92,133,97,114,13,22,27,118,0,21,69,104,5,52,117,2,17,95
1991,330,444,181,30,116,63,8,84,44,118,129,104,105,8,13,28,132,0,19,77,107,8,68,92,3,10,80
1992,340,481,199,25,121,67,7,105,42,97,124,110,103,9,18,25,132,0,7,71,127,12,55,89,4,29,79
1993,338,510,232,49,145,56,12,103,50,103,152,117,135,10,18,40,145,0,20,68,138,10,73,89,2,25,78
1994,382,510,222,45,125,56,14,112,64,109,167,122,152,8,19,30,179,0,16,89,127,11,67,71,2,38,94
1995,367,561,251,42,141,46,16,126,60,106,146,124,164,9,25,35,164,0,22,83,148,6,84,79,7,21,80
1996,404,542,209,45,147,51,4,118,67,107,145,134,162,8,17,37,160,0,18,78,135,12,86,96,8,32,94
1997,418,584,224,35,158,45,5,137,74,115,163,109,168,11,25,35,146,0,14,81,159,16,91,80,5,25,79
1998,457,630,215,49,176,68,7,163,80,134,180,134,185,14,27,33,192,0,8,77,172,14,91,96,14,24,93
1999,526,670,231,49,143,68,14,207,60,135,170,167,147,12,25,48,201,0,20,84,164,11,103,108,7,36,110
2000,553,764,243,62,203,89,12,233,77,140,198,148,160,18,29,52,218,0,20,97,183,5,83,123,24,31,77
2001,630,837,257,46,210,75,5,245,105,134,209,132,176,16,39,39,249,0,28,96,168,9,77,133,25,38,89
2002,590,872,289,59,203,72,10,275,107,131,213,137,183,18,36,46,279,0,19,84,192,15,91,161,28,34,78
2003,695,864,350,56,215,92,11,233,100,178,210,169,221,22,31,70,306,0,28,103,176,13,84,146,41,37,51
2004,713,929,293,56,195,93,5,272,115,161,250,131,195,14,50,45,281,0,19,83,195,12,92,210,48,52,39
2005,741,998,293,75,208,97,9,277,143,145,215,138,188,15,28,53,292,0,31,98,205,11,90,231,55,52,34
2006,764,1085,291,59,234,79,8,296,125,164,206,135,183,15,36,64,269,0,29,90,285,8,87,246,60,62,43
2007,746,1116,296,73,265,79,7,295,143,147,204,146,163,15,36,66,280,0,34,105,297,16,85,258,65,55,31
2008,743,1122,329,85,240,82,11,284,138,165,192,139,196,23,37,61,272,0,21,101,243,9,114,257,79,48,30
2009,830,1128,362,79,270,85,13,291,158,158,225,145,199,19,41,76,271,0,33,113,304,20,120,272,61,37,34
2010,823,1146,424,97,271,66,11,300,125,185,286,140,188,9,29,73,267,0,27,120,303,14,121,275,78,42,49
2011,882,1249,407,86,253,79,14,295,139,174,275,159,211,4,42,76,285,0,21,138,326,22,159,263,90,40,48
2012,889,1194,409,77,252,90,13,297,134,158,277,138,188,8,27,81,292,0,25,111,368,25,141,306,74,35,50
2013,863,1282,437,114,275,85,11,352,189,191,261,163,245,11,20,78,258,0,26,116,440,13,155,317,84,44,61
2014,907,1352,429,120,295,96,21,368,185,160,260,182,241,14,48,99,259,0,23,143,448,19,167,349,83,52,70
2015,953,1450,460,133,293,67,10,344,173,175,267,181,259,11,33,107,277,0,22,148,486,15,192,374,71,52,50
2016,913,1383,445,100,284,62,18,314,166,156,199,160,241,5,32,84,260,0,34,136,483,16,155,347,60,45,35
2017,631,1202,370,85,200,30,22,172,128,86,242,95,156,7,25,53,116,0,23,100,472,2,186,307,18,32,47
